ANNOTATION QUALITY TRIAGE  (human vs CNN@0.25 estimate, 139 logos, RES=200)
ratio = human/cnn.  <0.6 => likely UNDER-annotated (you missed corners).  >1.7 => likely OVER-annotated.
review the top of this list first when re-annotating.

SUMMARY: 5 likely under-annotated, 19 likely over-annotated, 115 ok

logo                    human   cnn~  ratio  flag
100hp                      25    202   0.12  UNDER <<<
airdice                     6     26   0.23  UNDER <<<
eyecon                      8     33   0.24  UNDER <<<
atomicslotlab             133     36   3.69  OVER >>>
gameburgerstudios          37    134   0.28  UNDER <<<
betsolutions              102     30   3.40  OVER >>>
fuga                      118     40   2.95  OVER >>>
evolution@nolimit         102     36   2.83  OVER >>>
egtd                      116     41   2.83  OVER >>>
ctinteractive             170     68   2.50  OVER >>>
creedroomz                111     46   2.41  OVER >>>
atmosfera                  98     41   2.39  OVER >>>
casinotechnology          101     44   2.30  OVER >>>
amatic                    131     63   2.08  OVER >>>
amigo                     152     74   2.05  OVER >>>
gamesglobal                99     52   1.90  OVER >>>
flatdog                   103     55   1.87  OVER >>>
apollogames               155     84   1.85  OVER >>>
bullsharkgames            115     63   1.83  OVER >>>
adlunam                    12     21   0.57  UNDER <<<
foxhoundgames             118     68   1.74  OVER >>>
expansestudios             97     56   1.73  OVER >>>
gamatron                   97     56   1.73  OVER >>>
evolution@maxwingaming     88     51   1.73  OVER >>>
backseat                  212    126   1.68  ok
ganapati                  166     99   1.68  ok
candlebets                 35     58   0.60  ok
esotericagames            152     92   1.65  ok
authentic                 154     94   1.64  ok
bulletproof               135     83   1.63  ok
3oaks                     115     71   1.62  ok
7777                       68     42   1.62  ok
bally's                    25     40   0.62  ok
darwin                     61     39   1.56  ok
bluebird                  102     66   1.55  ok
bragg                      74     48   1.54  ok
aruze                     114     74   1.54  ok
bulletproofgames          141     93   1.52  ok
backseatgaming            207    138   1.50  ok
acerun                     38     55   0.69  ok
broadhub                  146    101   1.45  ok
bigtimegaming              81     57   1.42  ok
buckstakesentertainment    288    204   1.41  ok
fourleafgaming             88     63   1.40  ok
baddingo                  143    104   1.38  ok
cggames                   112     82   1.37  ok
7mojos                     29     39   0.74  ok
copacabana                126     94   1.34  ok
boldplay                   37     28   1.32  ok
all41studios               60     79   0.76  ok
fourleaf                   84     64   1.31  ok
betcore                    70     54   1.30  ok
crazytooth                 82     64   1.28  ok
asia                      108     85   1.27  ok
beterlive                  87     69   1.26  ok
alchemygaming              68     54   1.26  ok
fantasmagames             129    103   1.25  ok
altente                    95     76   1.25  ok
barbarabang               100     80   1.25  ok
fortunefactory            270    216   1.25  ok
bluegurugames             136    109   1.25  ok
boomerangstudios           76     61   1.25  ok
eagaming                   21     17   1.24  ok
barbara-bang              101     82   1.23  ok
eurasian                   71     87   0.82  ok
electricelephant          164    134   1.22  ok
espressogames             139    169   0.82  ok
arcadem                    80     66   1.21  ok
endorphina                 38     46   0.83  ok
bigtime                    81     67   1.21  ok
bbgames                    77     64   1.20  ok
aviatrix                   61     51   1.20  ok
fazi                       63     53   1.19  ok
gamebeat                   95     80   1.19  ok
ainsworth                  70     59   1.19  ok
evoplay                    64     54   1.19  ok
1spin4win                  98     83   1.18  ok
blueringstudios           119    101   1.18  ok
gamevy                     53     45   1.18  ok
betgames                   73     62   1.18  ok
gameart                    67     57   1.18  ok
belatra                    64     55   1.16  ok
betgamestv                 73     63   1.16  ok
gamingcorps                82     71   1.15  ok
gamesinc                   52     60   0.87  ok
ezugi                      90     78   1.15  ok
evolution                  61     53   1.15  ok
elk                        81     71   1.14  ok
gaming-corps               80     71   1.13  ok
felix                     153    136   1.12  ok
felixgaming               153    137   1.12  ok
gamzix                     67     60   1.12  ok
bgaming                    96     86   1.12  ok
bfgames                    87     78   1.12  ok
gameslab                   87     78   1.12  ok
genesisgaming              78     70   1.11  ok
booongo                    49     44   1.11  ok
enrich                    118    106   1.11  ok
booming                   109     98   1.11  ok
aceroll                    45     50   0.90  ok
elcasino                  128    142   0.90  ok
enterra                    61     55   1.11  ok
1x2gaming                  75     68   1.10  ok
5men                       49     54   0.91  ok
goldcoinstudios            59     65   0.91  ok
fugaso                     50     55   0.91  ok
elkstudios                 81     74   1.09  ok
fantasma                  129    118   1.09  ok
boominggames              108     99   1.09  ok
gmw                       120    110   1.09  ok
givme                     101     93   1.09  ok
avatarux                   66     61   1.08  ok
gameswarehouse             26     28   0.93  ok
foxium                     56     52   1.08  ok
gachastudios               42     39   1.08  ok
betsoft                    86     92   0.93  ok
bangbanggames             103     97   1.06  ok
aurumsignaturestudios     181    171   1.06  ok
blueprint                  77     73   1.05  ok
caleta                     40     38   1.05  ok
gamomat                    60     57   1.05  ok
fbmds                      65     62   1.05  ok
bsg                        86     90   0.96  ok
amusnetlive                67     70   0.96  ok
bet2tech                  104    101   1.03  ok
amusnet                    68     70   0.97  ok
barcrest                   68     70   0.97  ok
enjoy                      37     38   0.97  ok
clawbuster                 77     79   0.97  ok
evolutionEzugi             82     80   1.02  ok
acceptance                 83     85   0.98  ok
4theplayer                 98    100   0.98  ok
galaxsys                   59     58   1.02  ok
gaming1                    66     67   0.99  ok
elagames                   70     69   1.01  ok
apparat                    76     75   1.01  ok
alg                        96     96   1.00  ok
dtech                      41     41   1.00  ok
egtdigitalgames            33     33   1.00  ok
